Age,Attendance_Percentage,Sleep_Hours,Stress_Level,Academic_Score,Family_Support_Score,Monthly_Expense,Screen_Time_Hours,Experimentation,Academic_Performance_Decline,Social_Isolation,Financial_Issues,Physical_Mental_Health_Problems,Legal_Consequences,Relationship_Strain,Risk_Taking_Behavior,Withdrawal_Symptoms,Denial_and_Resistance_to_Treatment,Addiction_Class
18,66.2,8.2,8,88.3,5.0,6663,7.8,No,No,No,No,No,No,No,No,No,Yes,No
26,61.6,3.8,3,77.0,8.0,8056,7.5,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes
26,84.9,3.7,3,47.7,5.0,3403,2.1,No,No,Yes,,No,Yes,Yes,No,No,Yes,No
20,80.4,7.6,2,49.7,1.0,17045,8.3,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
26,77.0,8.0,1,60.5,4.0,11676,6.1,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes
19,70.6,6.1,3,63.8,3.0,13690,5.8,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
24,76.0,5.6,7,70.2,4.0,3665,9.1,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
28,92.0,6.7,10,46.1,7.0,12513,7.4,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
21,70.9,6.2,8,70.4,,10877,5.8,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
24,74.3,6.0,6,37.2,6.0,15998,7.0,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes
26,82.0,6.0,10,42.1,9.0,10498,5.7,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No
19,63.0,5.3,9,81.7,9.0,21099,6.5,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
27,60.7,7.5,9,71.6,2.0,2711,7.2,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
24,59.5,6.3,3,63.1,1.0,7466,6.7,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
19,56.5,5.2,1,54.9,4.0,6517,6.6,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes
22,53.3,6.3,9,59.6,10.0,3873,5.6,No,No,No,No,No,Yes,No,No,No,No,No
22,85.9,,3,77.9,2.0,11456,7.8,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
18,67.0,,2,60.4,2.0,19522,1.0,Yes,No,No,No,No,Yes,Yes,No,No,No,No
25,78.3,6.1,2,47.9,4.0,20084,7.1,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No
22,64.8,4.5,7,70.1,1.0,6777,5.1,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No
25,43.6,4.5,5,64.7,5.0,5822,6.5,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes
19,68.1,6.3,10,68.7,5.0,18531,7.5,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes
17,67.7,4.5,3,61.4,6.0,18462,4.0,No,No,No,,No,No,No,No,Yes,Yes,No
25,53.4,,2,59.0,8.0,12936,7.8,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
26,76.7,9.2,8,84.5,6.0,8817,5.3,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes
28,82.2,6.9,2,59.4,5.0,8651,4.3,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
24,66.1,4.9,10,69.3,7.0,14122,4.0,No,No,Yes,No,No,Yes,No,No,No,No,No
26,75.5,5.7,3,74.4,7.0,3429,3.6,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
27,67.8,5.4,3,79.4,5.0,9345,6.1,No,Yes,No,No,No,No,No,Yes,No,Yes,No
28,87.4,6.5,1,66.6,4.0,21200,6.9,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No
23,65.0,9.8,9,65.5,9.0,11024,3.4,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes
17,70.6,6.4,10,70.4,9.0,9510,5.4,Yes,No,Yes,No,Yes,No,No,No,No,No,No
19,92.5,7.1,4,48.9,3.0,16802,6.7,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes
22,70.6,6.4,7,64.6,9.0,7079,7.4,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes
21,65.4,5.3,3,54.4,8.0,9519,5.4,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No
17,76.3,6.4,7,83.1,6.0,5824,3.7,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No
25,63.8,7.1,6,66.8,1.0,2468,3.7,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
27,47.7,8.2,4,63.5,3.0,9504,4.3,No,No,No,No,No,No,No,No,No,No,No
17,75.3,5.3,6,79.8,4.0,5022,8.1,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
23,78.3,7.9,5,55.9,1.0,4369,8.6,No,Yes,No,No,No,Yes,No,Yes,No,No,No
25,66.0,5.5,10,72.6,8.0,12062,5.3,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes
18,56.9,7.8,8,72.3,9.0,20201,3.8,No,No,No,Yes,No,No,No,No,No,Yes,No
23,86.1,5.1,5,66.7,10.0,20969,4.1,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No
21,73.4,4.9,9,54.2,4.0,3879,6.1,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
19,85.3,7.8,8,64.6,3.0,11440,2.9,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
27,53.8,6.3,1,85.6,6.0,20622,5.7,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
22,73.8,7.7,9,68.5,5.0,3538,7.6,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
26,74.7,6.7,4,79.5,2.0,16009,6.1,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
23,92.0,5.9,6,62.2,6.0,14020,4.6,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No
17,58.2,6.4,7,40.2,2.0,7079,7.1,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
22,71.0,5.7,4,61.7,1.0,14498,7.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
24,79.3,6.7,7,74.5,7.0,21383,2.2,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No
19,53.2,8.1,3,86.5,1.0,12136,6.3,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes
23,50.0,5.6,1,44.7,4.0,16686,8.5,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes
21,67.0,6.0,3,92.5,8.0,13584,7.6,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No
24,70.2,7.3,2,64.4,3.0,4835,9.3,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
20,90.8,6.4,8,46.4,3.0,21347,7.7,No,Yes,Yes,,Yes,Yes,No,No,No,No,Yes
22,75.4,7.2,7,57.6,1.0,7307,7.1,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes
28,58.0,6.0,3,91.1,1.0,17662,2.7,No,No,Yes,,No,Yes,No,No,Yes,Yes,No
28,63.2,6.7,6,41.5,6.0,17198,5.5,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes
28,74.1,6.3,3,59.4,10.0,20841,9.1,No,No,No,Yes,Yes,No,No,No,No,Yes,No
18,49.4,6.5,3,69.3,10.0,4507,2.3,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No
26,68.1,4.4,10,77.8,9.0,10001,4.9,No,No,Yes,Yes,No,Yes,No,No,No,No,No
27,73.0,6.0,10,52.9,1.0,6701,4.7,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
17,74.2,6.0,6,63.2,5.0,8640,4.4,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes
19,80.4,7.5,3,69.4,3.0,6916,2.9,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
22,56.0,4.9,5,52.9,5.0,12107,5.9,No,No,No,Yes,No,No,No,No,No,No,No
25,75.8,6.0,8,65.1,8.0,20410,4.5,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
22,62.3,5.3,10,54.9,9.0,2543,6.4,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes
19,87.2,5.9,2,87.6,10.0,13632,6.5,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
21,79.3,4.8,5,58.1,2.0,12650,6.2,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
22,63.1,7.0,5,64.2,2.0,2844,6.9,Yes,Yes,No,,Yes,Yes,No,Yes,No,No,Yes
18,59.5,9.1,3,71.7,4.0,2072,7.7,Yes,No,,No,Yes,Yes,Yes,No,No,No,Yes
26,84.2,9.0,8,56.6,8.0,3959,5.3,Yes,No,Yes,No,No,No,No,Yes,No,No,No
21,86.9,6.5,1,63.3,1.0,5326,2.8,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,71.6,5.6,1,67.3,6.0,12878,5.7,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No
18,65.2,,1,71.3,7.0,19616,5.2,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes
17,87.1,5.0,1,77.6,1.0,6779,4.6,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
18,68.9,6.8,9,54.8,2.0,8597,5.8,No,No,Yes,Yes,Yes,No,No,No,No,No,No
19,93.2,4.7,5,,1.0,12224,4.0,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
20,63.7,6.7,4,80.2,2.0,10072,7.6,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes
26,65.4,9.3,2,52.5,5.0,15307,5.1,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
17,83.0,5.1,3,92.9,5.0,8391,6.0,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
20,73.1,5.6,2,66.1,5.0,4245,6.2,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
19,,5.3,2,49.5,10.0,5215,5.5,Yes,Yes,,Yes,No,Yes,No,Yes,Yes,No,Yes
19,83.8,8.1,10,68.7,6.0,19988,5.0,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes
22,59.7,4.7,10,58.4,1.0,5046,7.8,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes
18,83.7,6.7,2,82.5,3.0,16454,7.0,Yes,Yes,,No,Yes,Yes,No,No,Yes,No,No
23,74.9,9.1,1,65.9,8.0,9777,5.1,Yes,No,No,No,Yes,No,No,No,No,Yes,No
23,,4.3,10,65.3,10.0,11355,9.6,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
17,68.3,7.7,5,67.5,8.0,5229,8.4,No,Yes,No,Yes,No,No,No,No,No,No,No
25,77.6,5.8,5,61.5,8.0,8516,7.0,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
23,79.8,4.8,7,51.0,6.0,21822,2.4,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
26,76.0,4.9,7,,9.0,15382,9.2,No,No,No,Yes,Yes,No,No,No,No,Yes,No
20,53.6,7.0,9,74.3,10.0,16951,3.2,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No
28,69.1,5.1,5,73.7,1.0,9834,4.8,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes
26,86.4,6.6,5,85.0,6.0,17828,8.1,Yes,No,Yes,No,Yes,No,No,No,No,No,No
26,77.2,8.6,3,47.2,9.0,2203,6.2,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
23,59.5,6.6,5,51.0,1.0,3099,3.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
28,60.8,5.6,3,57.7,10.0,11737,1.7,Yes,No,Yes,No,No,Yes,No,No,No,No,No
18,67.4,6.8,4,48.6,8.0,13500,6.2,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
20,62.5,5.8,4,67.9,6.0,10766,3.9,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes
24,76.7,6.8,7,54.6,5.0,7999,6.9,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes
23,87.2,7.2,10,68.3,9.0,19188,6.9,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes
23,75.0,6.1,5,62.8,1.0,14134,7.3,No,No,Yes,Yes,No,No,No,No,No,No,No
21,81.4,5.3,5,61.6,2.0,11809,4.8,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
20,74.3,6.4,5,75.0,8.0,14380,5.6,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
25,54.2,6.8,8,72.3,1.0,18046,2.0,No,Yes,No,,Yes,Yes,No,No,Yes,Yes,Yes
